Feature,SHAP Importance
2529,0.0028315613
1701,0.00283147
2598,0.002825186
2614,0.002811635
2635,0.002800568
2211,0.0028001447
3136,0.0027986157
3555,0.0027912485
2834,0.002789071
2160,0.0027864922
2896,0.0027851418
3393,0.00277837
2374,0.0027411918
1879,0.0027335652
2574,0.002724971
2807,0.0027168922
2945,0.002711148
3055,0.002705715
3494,0.0026846125
3060,0.0026715726
1838,0.0026637663
2878,0.0026603087
2464,0.0026503343
2927,0.0026463002
3565,0.0026455938
1863,0.0026368112
3512,0.0026251613
2326,0.0026071062
2951,0.0025829938
1791,0.002575279
1745,0.002560115
1992,0.0025418545
2458,0.002540801
2345,0.0025362002
2039,0.0025359981
2582,0.002534918
5694,0.002513412
2159,0.0025083295
1616,0.0025072354
4473,0.0025027697
3896,0.002502118
4041,0.0024935969
2294,0.002486063
1751,0.0024800117
2861,0.0024733597
2087,0.0024688838
1862,0.0024686346
1659,0.0024670002
2169,0.0024644234
1657,0.0024609494
2840,0.0024476256
1998,0.002440104
2175,0.002437386
2203,0.0024310937
2137,0.0024289538
2607,0.0024066546
3151,0.0023705035
1729,0.0023531057
1628,0.002338427
1702,0.0023291856
5278,0.0023267104
3740,0.0023248794
2005,0.0023206524
2490,0.0022985488
2815,0.0022733773
2600,0.0022730902
2655,0.0022727167
2517,0.0022700045
4282,0.002259722
1806,0.0022583255
2411,0.0022481016
2371,0.0022338347
2170,0.0022278687
1776,0.0022277923
2903,0.0022226986
2176,0.0022225091
2100,0.0022200271
2174,0.0022161237
1766,0.0022137954
4313,0.0022123342
2718,0.0022119249
3433,0.0022078983
2696,0.0022026761
3918,0.002196811
4403,0.0021905657
4161,0.0021904674
2264,0.0021891638
2977,0.0021849647
3358,0.0021794357
4380,0.0021770783
2262,0.0021757167
2051,0.0021745001
2035,0.002174427
3237,0.0021636218
4165,0.0021558679
3354,0.0021554653
4393,0.0021505107
2053,0.00215024
3297,0.0021489824
2249,0.0021367252
2128,0.0021297566
2604,0.002125272
3028,0.002124284
3138,0.0021171207
2004,0.0021144638
3845,0.0021073562
3081,0.0020972996
1934,0.002091046
3477,0.0020878508
3267,0.00207238
2227,0.0020683033
2403,0.0020666672
3791,0.0020618383
1738,0.0020610853
2532,0.0020578036
1707,0.0020570357
1994,0.0020560897
2663,0.0020559405
2255,0.0020318495
1891,0.0020315123
1795,0.0020262538
2603,0.0020185178
1798,0.0020177811
2434,0.002013263
1980,0.0020108302
2549,0.0019928024
2706,0.0019926762
1625,0.0019884154
2838,0.0019859995
2200,0.0019696467
3165,0.0019642808
5212,0.001961619
2618,0.001951675
2068,0.001950393
2322,0.001932824
2195,0.0019288351
2202,0.0019160723
1800,0.0019143234
2808,0.001904157
4295,0.0018966584
1809,0.0018891043
3716,0.0018820366
3371,0.0018814153
1888,0.0018762382
2212,0.0018741969
1648,0.0018738729
2930,0.0018713365
1740,0.0018598068
3521,0.0018511635
3103,0.0018280626
3679,0.0018248828
1048,0.0018191616
3768,0.0018145638
2218,0.0018093134
3024,0.0018079501
3101,0.0018043575
4543,0.001796926
4104,0.001796073
2496,0.0017940357
3636,0.0017783032
1985,0.0017764794
3987,0.0017749973
2002,0.0017695631
2478,0.0017592852
1661,0.00175915
2360,0.0017583189
1869,0.0017581899
2033,0.001752893
3010,0.0017503395
2825,0.0017464387
2310,0.0017435753
2367,0.0017362885
2642,0.0017295671
3559,0.0017293397
2021,0.0017286844
3042,0.0017280192
1965,0.0017142267
2348,0.0017117322
1783,0.0017091179
3125,0.0017044557
2355,0.001701376
2119,0.0016989748
3120,0.0016978525
2790,0.0016961449
2895,0.0016946692
1679,0.0016924663
3397,0.0016912776
2524,0.0016819808
2746,0.001681807
3233,0.0016812524
